bldg_id,peak_kw,coincident_day,pt_0_ratio,pt_1_ratio,pt_2_ratio,pt_3_ratio,pt_4_ratio,pt_5_ratio,pt_6_ratio,pt_7_ratio,pt_8_ratio,pt_9_ratio,pt_10_ratio,pt_11_ratio,pt_12_ratio,pt_13_ratio,pt_14_ratio,pt_15_ratio,pt_16_ratio,pt_17_ratio,pt_18_ratio,pt_19_ratio,pt_20_ratio,pt_21_ratio,pt_22_ratio,pt_23_ratio,pt_24_ratio,pt_25_ratio,pt_26_ratio,pt_27_ratio,pt_28_ratio,pt_29_ratio,pt_30_ratio,pt_31_ratio,pt_32_ratio,pt_33_ratio,pt_34_ratio,pt_35_ratio,pt_36_ratio,pt_37_ratio,pt_38_ratio,pt_39_ratio,pt_40_ratio,pt_41_ratio,pt_42_ratio,pt_43_ratio,pt_44_ratio,pt_45_ratio,pt_46_ratio,pt_47_ratio,pt_48_ratio,pt_49_ratio,pt_50_ratio,pt_51_ratio,pt_52_ratio,pt_53_ratio,pt_54_ratio,pt_55_ratio,pt_56_ratio,pt_57_ratio,pt_58_ratio,pt_59_ratio,pt_60_ratio,pt_61_ratio,pt_62_ratio,pt_63_ratio,pt_64_ratio,pt_65_ratio,pt_66_ratio,pt_67_ratio,pt_68_ratio,pt_69_ratio,pt_70_ratio,pt_71_ratio,pt_72_ratio,pt_73_ratio,pt_74_ratio,pt_75_ratio,pt_76_ratio,pt_77_ratio,pt_78_ratio,pt_79_ratio,pt_80_ratio,pt_81_ratio,pt_82_ratio,pt_83_ratio,pt_84_ratio,pt_85_ratio,pt_86_ratio,pt_87_ratio,pt_88_ratio,pt_89_ratio,pt_90_ratio,pt_91_ratio,pt_92_ratio,pt_93_ratio,pt_94_ratio,pt_95_ratio
27719,7.40044,2018-08-09,0.18339990079402924,0.18140541017055511,0.180194690823555,0.1790488064289093,0.17792995274066925,0.17442205548286438,0.1729680895805359,0.1716168224811554,0.17034663259983063,0.17040608823299408,0.16966557502746582,0.16894671320915222,0.16824404895305634,0.1637902706861496,0.27527549862861633,0.43412014842033386,0.3754047155380249,0.16117419302463531,0.1622389853000641,0.16181740164756775,0.2769024670124054,0.6132500171661377,0.1923399120569229,0.48858174681663513,0.4696369171142578,0.21282517910003662,0.49604615569114685,0.6634578704833984,0.252606600522995,0.25495240092277527,0.25846028327941895,0.48758721351623535,0.19965298473834991,0.694466769695282,0.21550069749355316,0.43841177225112915,0.23840202391147614,0.22624599933624268,0.6051585674285889,0.561631441116333,0.22160303592681885,0.4328120946884155,0.700779914855957,0.4029814302921295,0.4603942334651947,0.6707870960235596,0.4314175546169281,0.5041213631629944,0.7107955813407898,0.8000551462173462,0.5674203038215637,0.3356773257255554,0.4735718369483948,0.2536443769931793,0.48931142687797546,0.2562117874622345,0.25731441378593445,0.47246378660202026,0.3237753212451935,0.5263632535934448,0.2654058337211609,0.614185094833374,0.6202549934387207,0.41121336817741394,0.402386873960495,0.3375474810600281,0.613466203212738,0.3358016312122345,0.3356611132621765,0.6469831466674805,0.36541610956192017,0.36518368124961853,0.5884568691253662,0.43162837624549866,0.3981871008872986,0.4130619168281555,0.4528217017650604,0.7148169279098511,1.0,0.4732258915901184,0.4287852942943573,0.411234974861145,0.4114620089530945,0.4099755883216858,0.4085162580013275,0.3342287540435791,0.2699136734008789,0.2540065050125122,0.24009382724761963,0.21357108652591705,0.19151292741298676,0.19000490009784698,0.18864282965660095,0.18247023224830627,0.17760565876960754,0.41054853796958923
13035,2.27112,2018-08-09,0.5681073665618896,0.5559371113777161,0.5382013916969299,0.5292718410491943,0.5208883285522461,0.5050723552703857,0.4916869103908539,0.478900283575058,0.4659903645515442,0.45454224944114685,0.44649335741996765,0.43700021505355835,0.42981433868408203,0.42040929198265076,0.41391029953956604,0.41336432099342346,0.4065130650997162,0.40262070298194885,0.3989221155643463,0.39538201689720154,0.39196518063545227,0.3904152810573578,0.3894818127155304,0.3869456350803375,0.39069709181785583,0.3973017632961273,0.4126422107219696,0.484148770570755,0.49846768379211426,0.5400331020355225,0.5212934613227844,0.5333227515220642,0.5095283389091492,0.5226672291755676,0.5358765125274658,0.5498608350753784,0.5644615888595581,0.5679136514663696,0.5720877647399902,0.5761209726333618,0.5800486207008362,0.5886786580085754,0.5992461442947388,0.610870361328125,0.6244143843650818,0.6376765370368958,0.6659092903137207,0.7439324855804443,0.7372221350669861,0.7136918902397156,0.7087780237197876,0.7105920910835266,0.7186409831047058,0.7249814867973328,0.7623551487922668,0.7967522144317627,0.7935467958450317,0.763640820980072,0.7649617195129395,0.7703335285186768,0.7710204720497131,0.7738208174705505,0.7756173014640808,0.7853217720985413,0.7857797145843506,0.7869773507118225,0.7991475462913513,0.8860650658607483,0.8781922459602356,0.8476698398590088,0.8382119536399841,0.8376835584640503,0.8359047174453735,0.8344781398773193,0.8365035057067871,0.8699495792388916,0.8773820400238037,0.9355384111404419,0.9403994679450989,0.9950156211853027,0.9909999966621399,0.9862622022628784,0.9859804511070251,1.0,0.9820528626441956,0.8599633574485779,0.8323293924331665,0.744848370552063,0.7312515377998352,0.7172672152519226,0.6884708404541016,0.5607805848121643,0.5482053160667419,0.533428430557251,0.518123209476471,0.48786503076553345
8328,2.49416,2018-08-09,0.4563460648059845,0.4500753879547119,0.44386887550354004,0.43743786215782166,0.4308464527130127,0.42132022976875305,0.41355806589126587,0.4061647951602936,0.3991564214229584,0.3953234851360321,0.39102545380592346,0.38685569167137146,0.38275009393692017,0.7090002298355103,0.7058088183403015,0.7019116878509521,0.6980306506156921,0.6970522999763489,0.696491003036499,0.6960419416427612,0.6956089735031128,0.12441863864660263,0.12494787573814392,0.12552523612976074,0.1394297033548355,0.14411264657974243,0.2529909908771515,0.25728902220726013,0.27181896567344666,0.2919299602508545,0.3079674243927002,0.3226737678050995,0.35401099920272827,0.37373706698417664,0.38804247975349426,0.4038233458995819,0.42653241753578186,0.44961029291152954,0.4669307768344879,0.4789588451385498,0.48877376317977905,0.49809151887893677,0.5086121559143066,0.5194534659385681,0.5310004353523254,0.5416653156280518,0.5507104396820068,0.5603329539299011,0.5910607576370239,0.6055104732513428,0.5927446484565735,0.5948936939239502,0.6049171090126038,0.8356641530990601,0.8365943431854248,0.8370593786239624,0.8624146580696106,0.8493280410766602,0.8449498414993286,0.8455432653427124,0.8308528661727905,0.8530487418174744,0.8595759868621826,0.8599929213523865,0.8713153600692749,0.8856849670410156,0.905234694480896,0.9091958999633789,0.9661930799484253,0.9684062004089355,0.9665298461914062,0.964621365070343,1.0,0.35216665267944336,0.3527279794216156,0.5654649138450623,0.7692689895629883,0.7094332575798035,0.754578709602356,0.774850070476532,0.7160406708717346,0.7030503749847412,0.7062738537788391,0.6069698929786682,0.4739712178707123,0.4397953748703003,0.43193700909614563,0.4271899163722992,0.42356544733047485,0.43641147017478943,0.4343586564064026,0.4311992824077606,0.42767104506492615,0.4066780209541321,0.4011450707912445,0.3962055444717407
85457,1.8816,2018-08-09,0.5022746324539185,0.49411138892173767,0.4875212609767914,0.4811011850833893,0.47455358505249023,0.45484694838523865,0.43966835737228394,0.4248511791229248,0.41037413477897644,0.4045068025588989,0.3956632614135742,0.38686224818229675,0.3781887888908386,0.3650510013103485,0.35580357909202576,0.34696003794670105,0.3382865786552429,0.3380952477455139,0.4744260013103485,0.5453869104385376,0.400297611951828,0.36815476417541504,0.36052295565605164,0.3323979675769806,0.32062074542045593,0.32648807764053345,0.32920917868614197,0.4968537390232086,0.4249149560928345,0.41205355525016785,0.4458758533000946,0.487903892993927,0.5355867743492126,0.5915390849113464,0.6305697560310364,0.6354379057884216,0.6839072704315186,0.676169216632843,0.6765943765640259,0.6828868985176086,0.6863095164299011,0.6901147961616516,0.697874128818512,0.7343537211418152,0.7577593326568604,0.7707483172416687,0.7822490930557251,0.7944940328598022,0.8059523701667786,0.8144770860671997,0.820514440536499,0.8269770741462708,0.8345237970352173,0.835565447807312,0.8395195603370667,0.8502126336097717,0.8641581535339355,0.8770833611488342,0.8779336214065552,0.9248511791229248,0.8964285850524902,0.8888180255889893,0.8893920183181763,0.8944727778434753,0.896896243095398,0.9123724102973938,0.9109693765640259,0.9629039168357849,0.9809948801994324,0.9671768546104431,0.9647321701049805,0.9900084733963013,0.9977253675460815,1.0,0.9897746443748474,0.9725765585899353,0.957419216632843,0.9106504917144775,0.8809736371040344,0.8619897961616516,0.8403699398040771,0.7544429898262024,0.7028273940086365,0.6553359031677246,0.6269557476043701,0.5906037092208862,0.5760841965675354,0.5294430255889893,0.5049744844436646,0.48758503794670105,0.47593533992767334,0.4440050721168518,0.4255952537059784,0.4100552797317505,0.39764028787612915,0.38584184646606445
2125,1.07504,2018-08-09,0.44519275426864624,0.43879300355911255,0.4288956820964813,0.41423577070236206,0.4095103442668915,0.39894330501556396,0.38826462626457214,0.3729349672794342,0.36776307225227356,0.36675843596458435,0.3648236393928528,0.36359575390815735,0.41241255402565,0.4493972361087799,0.3612888753414154,0.3635585606098175,0.35797739028930664,0.35194969177246094,0.35481470823287964,0.36251673102378845,0.3609168231487274,0.36270278692245483,0.3868507146835327,0.4365605115890503,0.438458114862442,0.49460485577583313,0.5904896855354309,0.5799970626831055,0.5863223671913147,0.5953266620635986,0.606712281703949,0.5293198227882385,0.47194522619247437,0.476931095123291,0.48143327236175537,0.48723769187927246,0.4706801474094391,0.425435334444046,0.42577022314071655,0.42595624923706055,0.426216721534729,0.42655158042907715,0.43068164587020874,0.43563032150268555,0.44106265902519226,0.4467554986476898,0.45081114768981934,0.45605745911598206,0.4619362950325012,0.4661780297756195,0.47064295411109924,0.4758148789405823,0.481619268655777,0.5095252394676208,0.5622860789299011,0.5684253573417664,0.5732996463775635,0.580294668674469,0.5894106030464172,0.6536687016487122,0.764771580696106,0.7753013968467712,0.720419704914093,0.6508781313896179,0.6500595808029175,0.683472216129303,0.760901927947998,0.7854219675064087,0.7831150889396667,0.7840824723243713,0.8062583804130554,0.851205587387085,0.8469266891479492,0.8778092265129089,0.8999479413032532,0.9540482759475708,0.9387186169624329,0.9250632524490356,0.9469786882400513,1.0,0.9925584197044373,0.9497321248054504,0.8630748987197876,0.6950811147689819,0.6894627213478088,0.6821699738502502,0.6469712853431702,0.5806667804718018,0.5766111016273499,0.5699881315231323,0.533301055431366,0.4636106789112091,0.4598526656627655,0.4536389410495758,0.43581634759902954,0.4038919508457184
48041,6.12168,2018-08-09,0.41699013113975525,0.41722536087036133,0.4105605185031891,0.4043204188346863,0.398380845785141,0.10440271347761154,0.4896237850189209,0.24077706038951874,0.2888357639312744,0.2992185354232788,0.2973889708518982,0.2956378161907196,0.29361221194267273,0.3187294900417328,0.5728035569190979,0.3130643963813782,0.3101109564304352,0.34031182527542114,0.3387371003627777,0.337208092212677,0.3357052206993103,0.3214999735355377,0.3211210072040558,0.3966427445411682,0.5342586040496826,0.275689035654068,0.27918481826782227,0.5948432683944702,0.29722559452056885,0.30345267057418823,0.3146913945674896,0.635250449180603,0.3374890685081482,0.3407822847366333,0.35191649198532104,0.6202741861343384,0.36861124634742737,0.3704081177711487,0.686523973941803,0.37898749113082886,0.38337844610214233,0.38899126648902893,0.39674732089042664,0.4043792188167572,0.6475542783737183,0.4666889011859894,0.4251120984554291,0.7123796343803406,0.43895140290260315,0.4447602927684784,0.450477659702301,0.4572927951812744,0.46426475048065186,0.8062885403633118,0.5576508641242981,0.8646907806396484,0.5679421424865723,0.6278603672981262,0.9109002947807312,0.593144416809082,0.6004822254180908,0.7263038754463196,1.0,0.7194169163703918,0.7193123698234558,0.7154833674430847,0.7157186269760132,0.7199069857597351,0.7199462056159973,0.9639315009117126,0.6373609900474548,0.666000247001648,0.6696397066116333,0.6363939642906189,0.6338194608688354,0.6405366063117981,0.6514551639556885,0.6214829683303833,0.8854432702064514,0.6147136092185974,0.6121652722358704,0.5843102335929871,0.5805269479751587,0.5570628046989441,0.5518746972084045,0.5183022022247314,0.4715502858161926,0.4524836242198944,0.43872925639152527,0.4233543872833252,0.4129128158092499,0.7836411595344543,0.402320921421051,0.38578954339027405,0.37599483132362366,0.3665791451931
63240,8.06964,2018-08-09,0.27410390973091125,0.27196255326271057,0.270386278629303,0.26884472370147705,0.2673279047012329,0.2652014195919037,0.26387298107147217,0.26254454255104065,0.26121610403060913,0.26038336753845215,0.2597637474536896,0.25913920998573303,0.2583906948566437,0.2566409409046173,0.3293232321739197,0.29553237557411194,0.24800115823745728,0.23480600118637085,0.23774541914463043,0.2338542938232422,0.23552970588207245,0.23734888434410095,0.23326443135738373,0.23023083806037903,0.2319905161857605,0.2350786328315735,0.31863129138946533,0.2840622365474701,0.23673422634601593,0.24315831065177917,0.2515205144882202,0.2568739056587219,0.26246026158332825,0.26834407448768616,0.2739254832267761,0.2805577218532562,0.28210923075675964,0.28251567482948303,0.28517255187034607,0.2873634696006775,0.2834029495716095,0.2812764644622803,0.2828180491924286,0.28438442945480347,0.2843199670314789,0.3605414927005768,0.3298734426498413,0.28998568654060364,0.2911703288555145,0.2918742299079895,0.2924393117427826,0.29473432898521423,0.2966625392436981,0.29740607738494873,0.298035591840744,0.3004198372364044,0.30303704738616943,0.3035277724266052,0.30383017659187317,0.3041374683380127,0.305996298789978,0.3088514506816864,0.30907943844795227,0.3093074858188629,0.31429407000541687,0.3190080225467682,0.3461814820766449,0.36416491866111755,0.3315339982509613,0.3376556932926178,0.7382981181144714,1.0,0.9993060231208801,0.9973629117012024,0.31916168332099915,0.3208569288253784,0.32383599877357483,0.3283417820930481,0.32676056027412415,0.325204074382782,0.32412847876548767,0.3189088702201843,0.31157276034355164,0.3063482344150543,0.29831814765930176,0.2917602062225342,0.2871057391166687,0.28369542956352234,0.27797025442123413,0.27787113189697266,0.27574461698532104,0.2726912200450897,0.2710653841495514,0.2637540400028229,0.26261889934539795,0.26145899295806885
326,1.8534,2018-08-09,0.6125391125679016,0.6025682091712952,0.5952088236808777,0.5881083607673645,0.5811589360237122,0.5783748626708984,0.5704975128173828,0.5628790259361267,0.5552821755409241,0.23343044519424438,0.6794431805610657,0.4124527871608734,0.3588000535964966,0.42833709716796875,0.4166828393936157,0.4169202446937561,0.4166828393936157,0.4158627390861511,0.4160785675048828,0.41683393716812134,0.41657495498657227,0.4245818555355072,0.4324808418750763,0.43377578258514404,0.4357397258281708,0.44950899481773376,0.46873852610588074,0.45540088415145874,0.4544296860694885,0.4913995862007141,0.4867594540119171,0.5011114478111267,0.5176432728767395,0.5120751261711121,0.5421603918075562,0.5575051307678223,0.5732383728027344,0.5793029069900513,0.5935038328170776,0.6047048568725586,0.592683732509613,0.5922089219093323,0.6022013425827026,0.6118268966674805,0.6206755042076111,0.6312075257301331,0.6372504234313965,0.6430343985557556,0.6498111486434937,0.655055582523346,0.6601057648658752,0.6647242903709412,0.6692996621131897,0.6732060313224792,0.6772202253341675,0.6811049580574036,0.6847739219665527,0.6891335248947144,0.6924787163734436,0.7524117827415466,0.7573971748352051,0.7669148445129395,0.781892716884613,0.7846552133560181,0.786964476108551,0.823502779006958,0.9295564889907837,0.9289522171020508,0.9237940907478333,0.9013272523880005,0.9410812258720398,0.9365490674972534,0.9338513016700745,0.945591926574707,1.0,0.9960073232650757,0.9919930696487427,0.9625985026359558,0.8678321242332458,0.8639473915100098,0.9303982257843018,0.938426673412323,0.9286500811576843,0.9055789709091187,0.8254883289337158,0.8040358424186707,0.689824104309082,0.6792705655097961,0.6699255108833313,0.6522498726844788,0.6153448224067688,0.6072947382926941,0.5998489260673523,0.5870507955551147,0.5664616823196411,0.5584331154823303
5114,1.69244,2018-08-09,0.5506842136383057,0.619507908821106,0.6143792271614075,0.6093450784683228,0.6050671935081482,0.6003639698028564,0.5970787405967712,0.593769907951355,0.5904847383499146,0.5897993445396423,0.5883103609085083,0.5861832499504089,0.5813145041465759,0.596015214920044,0.5974332690238953,0.5954480171203613,0.5935099720954895,0.6208078265190125,1.0,0.5485098361968994,0.5339982509613037,0.533572793006897,0.5413013100624084,0.5396941304206848,0.5387724041938782,0.5457918643951416,0.5694736838340759,0.5714353322982788,0.5735624432563782,0.6223913431167603,0.6302852630615234,0.6341849565505981,0.6387937068939209,0.6442295908927917,0.6495237350463867,0.6529980301856995,0.6565432548522949,0.18626360595226288,0.16851408779621124,0.1690576821565628,0.16955401003360748,0.5933681726455688,0.35740113258361816,0.4647490978240967,0.4846966564655304,0.4975301921367645,0.48878541588783264,0.5332183241844177,0.5488170981407166,0.5613433718681335,0.5746259689331055,0.5906265377998352,0.6324596405029297,0.6400935649871826,0.6490747332572937,0.6559523344039917,0.6623573303222656,0.666753351688385,0.6466639637947083,0.6542742848396301,0.6620973348617554,0.667556881904602,0.6778615713119507,0.6803667545318604,0.6825175285339355,0.6813830733299255,0.6875516772270203,0.6849046349525452,0.6818794012069702,0.7302356362342834,0.7422419190406799,0.740682065486908,0.7390985488891602,0.6816430687904358,0.6853300929069519,0.6735600829124451,0.6585284471511841,0.648200273513794,0.670227587223053,0.7632057666778564,0.7552409768104553,0.7637729644775391,0.8554985523223877,0.851929783821106,0.8476282358169556,0.8264517784118652,0.7125570178031921,0.7079483270645142,0.7039541006088257,0.6811467409133911,0.5627850890159607,0.5338800549507141,0.5083784461021423,0.49715206027030945,0.4699723422527313,0.46304744482040405
40599,1.56216,2018-08-09,0.3447533845901489,0.3404772877693176,0.340093195438385,0.3397091031074524,0.33929944038391113,0.3278793394565582,0.32754647731781006,0.32718801498413086,0.3268550932407379,0.33110564947128296,0.3307727575302124,0.33043989539146423,0.3301326334476471,0.3231935203075409,0.3229118585586548,0.32260459661483765,0.32232293486595154,0.32552364468574524,0.32519078254699707,0.32488349080085754,0.33412712812423706,0.3542018532752991,0.3998821973800659,0.4519127309322357,0.45168229937553406,0.4530905783176422,0.4773646891117096,0.5042761564254761,0.5043529272079468,0.49777230620384216,0.5033286809921265,0.5095252990722656,0.5098581314086914,0.5150048732757568,0.5156193971633911,0.5162339210510254,0.516822874546051,0.5203307867050171,0.5217646956443787,0.523198664188385,0.5241204500198364,0.5275771617889404,0.5282173752784729,0.5288318991661072,0.5297536849975586,0.5232242345809937,0.5230706334114075,0.5228913426399231,0.5237107276916504,0.5206892490386963,0.5253751277923584,0.5295488238334656,0.5300097465515137,0.5332104563713074,0.5356429219245911,0.44873762130737305,0.3467250466346741,0.3631894290447235,0.36341986060142517,0.36359912157058716,0.3637527525424957,0.44819992780685425,0.5783018469810486,0.5988886952400208,0.5990679860115051,0.616274893283844,0.6385005116462708,0.6634915471076965,0.663568377494812,0.6699954271316528,0.7091463208198547,0.754135251045227,0.7539304494857788,0.7549546957015991,0.8105956315994263,0.8748655915260315,0.8743022680282593,0.8555077314376831,0.9111998677253723,0.9746761322021484,0.9740871787071228,0.98041170835495,0.9899113774299622,1.0,0.9994366765022278,0.9944179654121399,0.8838531374931335,0.757899284362793,0.5675731301307678,0.3481845557689667,0.3475956320762634,0.3470323085784912,0.346468985080719,0.34406206011772156,0.34352433681488037,0.343037873506546
